original_message,emoji_used,emoji_context_window,translated_meaning,sentiment_detected,emoji_category,target_text,message_type
😊🌞 Feeling great today! Ready to take on new challenges! 💪✨,"['😊', '🌞', '💪', '✨']",2,"The person is feeling happy and cheerful today, basking in the sunshine, and feels motivated and confident to face new challenges.",positive,"['emotion', 'nature', 'motivation']",Feeling great today! Ready to take on new challenges!,daily_status
😊🌞 Let's enjoy the sunny day! 🌳🏖️,"['😊', '🌞', '🌳', '🏖️']",4,"A cheerful person expressing happiness about the sunny weather and looking forward to spending time outdoors in nature, perhaps at the park or beach.",positive,"['emotion', 'nature', 'activity']",Let's enjoy the sunny day!,daily_status
Had a great day! 😊🌞🎉,"['😊', '🌞', '🎉']",3,"The person is expressing happiness about their day, mentioning sunshine and celebration.",positive,"['emotion', 'nature', 'celebration']",Had a great day!,daily_status
😊🌞✨ Have a bright and joyful day! 🌻🌈,"['😊', '🌞', '✨', '🌻', '🌈']",3,"Wishing someone a happy, sunny, and cheerful day filled with positivity and beauty.",positive,"['emotion', 'nature']",Have a bright and joyful day!,daily_status
😊🌞 Feeling happy and energized today! Ready to take on new challenges. 🚀✨,"['😊', '🌞', '🚀', '✨']",2,"The message expresses a joyful and positive mood, highlighting enthusiasm and motivation for upcoming tasks or challenges.",positive,"['emotion', 'nature', 'activity']",Feeling happy and energized today! Ready to take on new challenges.,daily_status
😊🌞🌸 Good morning! Hope your day is full of happiness and sunshine.,"['😊', '🌞', '🌸']",3,A cheerful greeting wishing someone a happy day filled with sunshine and blossoming positivity.,positive,"['emotion', 'nature']",Good morning! Hope your day is full of happiness and sunshine.,daily_status
😊🌞 Let's enjoy this beautiful day! 🌻🎶,"['😊', '🌞', '🌻', '🎶']",2,"The message expresses happiness and positivity about the day, highlighting enjoying sunshine and nature, accompanied by cheerful music.",positive,"['emotion', 'nature', 'music']",Let's enjoy this beautiful day!,daily_status
🎉😊🏆 Great news! I just won the contest! 🥳🎊,"['🎉', '😊', '🏆', '🥳', '🎊']",2,"Celebration of winning a contest, expressing happiness and pride.",positive,"['emotion', 'celebration']",Great news! I just won the contest!,personal_feelings
Good morning! ☀️😊 Have a great day! 🌤️✨,"['☀️', '😊', '🌤️', '✨']",3,"Wishing someone a bright and cheerful morning, expressing happiness and positivity for the day ahead.",positive,"['emotion', 'nature']",Good morning! Wishing you a bright and cheerful day!,daily_status
🌞😊🔥 Let's enjoy the sunshine and good vibes today! 🔥😊🌞,"['🌞', '😊', '🔥']",3,"The message conveys a cheerful and energetic mood, emphasizing enjoying sunny weather and positive feelings with enthusiasm.",positive,"['emotion', 'nature']",Let's enjoy the sunshine and good vibes today!,daily_status
